# Water Recovery,LCOW,SEC,Membrane Area,Operating Pressure
3.000000e-01,9.475098e-01,6.242470e+00,7.034138e+01,5.321351e+06
3.050000e-01,9.378446e-01,6.176902e+00,7.093651e+01,5.352604e+06
3.100000e-01,9.285064e-01,6.113618e+00,7.152707e+01,5.384003e+06
3.150000e-01,9.194812e-01,6.052522e+00,7.211313e+01,5.415559e+06
3.200000e-01,9.107559e-01,5.993523e+00,7.269476e+01,5.447283e+06
3.250000e-01,9.023184e-01,5.936535e+00,7.327201e+01,5.479185e+06
3.300000e-01,8.941572e-01,5.881479e+00,7.384493e+01,5.511275e+06
3.350000e-01,8.862616e-01,5.828281e+00,7.441358e+01,5.543566e+06
3.400000e-01,8.786214e-01,5.776868e+00,7.497800e+01,5.576066e+06
3.450000e-01,8.712271e-01,5.727177e+00,7.553823e+01,5.608789e+06
3.500000e-01,8.640699e-01,5.679143e+00,7.609432e+01,5.641745e+06
3.550000e-01,8.571413e-01,5.632710e+00,7.664631e+01,5.674945e+06
3.600000e-01,8.504334e-01,5.587822e+00,7.719421e+01,5.708402e+06
3.650000e-01,8.439388e-01,5.544428e+00,7.773807e+01,5.742128e+06
3.700000e-01,8.376503e-01,5.502479e+00,7.827791e+01,5.776135e+06
3.750000e-01,8.315615e-01,5.461929e+00,7.881375e+01,5.810435e+06
3.800000e-01,8.256661e-01,5.422735e+00,7.934563e+01,5.845042e+06
3.850000e-01,8.199582e-01,5.384857e+00,7.987356e+01,5.879968e+06
3.900000e-01,8.144323e-01,5.348257e+00,8.039755e+01,5.915228e+06
3.950000e-01,8.090832e-01,5.312898e+00,8.091763e+01,5.950836e+06
4.000000e-01,8.039059e-01,5.278748e+00,8.143381e+01,5.986805e+06
4.050000e-01,7.988960e-01,5.245774e+00,8.194611e+01,6.023150e+06
4.100000e-01,7.940489e-01,5.213946e+00,8.245454e+01,6.059886e+06
4.150000e-01,7.893607e-01,5.183237e+00,8.295910e+01,6.097030e+06
4.200000e-01,7.848275e-01,5.153620e+00,8.345982e+01,6.134597e+06
4.250000e-01,7.804457e-01,5.125071e+00,8.395671e+01,6.172603e+06
4.300000e-01,7.762118e-01,5.097567e+00,8.444977e+01,6.211066e+06
4.350000e-01,7.721229e-01,5.071085e+00,8.493902e+01,6.250003e+06
4.400000e-01,7.681757e-01,5.045607e+00,8.542447e+01,6.289432e+06
4.450000e-01,7.643677e-01,5.021112e+00,8.590613e+01,6.329371e+06
4.500000e-01,7.606963e-01,4.997585e+00,8.638403e+01,6.369841e+06
4.550000e-01,7.571589e-01,4.975008e+00,8.685818e+01,6.410862e+06
4.600000e-01,7.537535e-01,4.953366e+00,8.732860e+01,6.452452e+06
4.650000e-01,7.504780e-01,4.932646e+00,8.779531e+01,6.494635e+06
4.700000e-01,7.473304e-01,4.912836e+00,8.825835e+01,6.537432e+06
4.750000e-01,7.443091e-01,4.893923e+00,8.871773e+01,6.580865e+06
4.800000e-01,7.414125e-01,4.875898e+00,8.917351e+01,6.624959e+06
4.850000e-01,7.386392e-01,4.858750e+00,8.962573e+01,6.669737e+06
4.900000e-01,7.359879e-01,4.842473e+00,9.007442e+01,6.715226e+06
4.950000e-01,7.334575e-01,4.827057e+00,9.051966e+01,6.761451e+06
5.000000e-01,7.310471e-01,4.812497e+00,9.096151e+01,6.808439e+06
